targetA.tStart,targetA.frameNStart,targetA.tEnd,targetA.frameNEnd,targetB.tStart,targetB.frameNStart,targetB.tEnd,targetB.frameNEnd,target_preference,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trial_id,fixateStartTime,fixateDuration,targetStartTime,targetDuration,colour1,colour2,participant,session,date,expName,psychopyVersion,OS,frameRate
2,120,2.516,151,2,120,2.516,151,2,0,54,54,28,1,29,0.5,1,2,0.5,#c7512c,#008a52,348000,001,2024-06-25_17h18.18.443,kana_colourPreferenceQualia,2022.2.5,Win32,47.12535344
2.002,120,2.502,150,2.002,120,2.502,150,4,0,55,55,21,1,22,0.5,1,2,0.5,#c7512c,#c13547,348000,001,2024-06-25_17h18.18.443,kana_colourPreferenceQualia,2022.2.5,Win32,47.12535344
2.006,121,2.505,151,2.006,121,2.505,151,2,0,56,56,44,1,45,0.5,1,2,0.5,#a03663,#9aa400,348000,001,2024-06-25_17h18.18.443,kana_colourPreferenceQualia,2022.2.5,Win32,47.12535344
2,120,2.501,150,2,120,2.501,150,5,0,57,57,31,1,32,0.5,1,2,0.5,#c13547,#753a7a,348000,001,2024-06-25_17h18.18.443,kana_colourPreferenceQualia,2022.2.5,Win32,47.12535344
2.017,121,2.515,151,2.017,121,2.515,151,6,0,58,58,0,1,1,0.5,1,2,0.5,#d2b700,#db8b08,348000,001,2024-06-25_17h18.18.443,kana_colourPreferenceQualia,2022.2.5,Win32,47.12535344
2.017,121,2.515,151,2.017,121,2.515,151,5,0,59,59,32,1,33,0.5,1,2,0.5,#c13547,#4b488e,348000,001,2024-06-25_17h18.18.443,kana_colourPreferenceQualia,2022.2.5,Win32,47.12535344
2,120,2.5,150,2,120,2.5,150,6,0,60,60,57,1,58,0.5,1,2,0.5,#005692,#007b75,348000,001,2024-06-25_17h18.18.443,kana_colourPreferenceQualia,2022.2.5,Win32,47.12535344
2.017,121,2.502,150,2.017,121,2.502,150,1,0,61,61,50,1,51,0.5,1,2,0.5,#753a7a,#9aa400,348000,001,2024-06-25_17h18.18.443,kana_colourPreferenceQualia,2022.2.5,Win32,47.12535344
2,120,2.502,150,2,120,2.502,150,5,0,62,62,53,1,54,0.5,1,2,0.5,#4b488e,#007b75,348000,001,2024-06-25_17h18.18.443,kana_colourPreferenceQualia,2022.2.5,Win32,47.12535344
2,120,2.5,150,2,120,2.5,150,2,0,63,63,65,1,66,0.5,1,2,0.5,#008a52,#9aa400,348000,001,2024-06-25_17h18.18.443,kana_colourPreferenceQualia,2022.2.5,Win32,47.12535344
2.015,121,2.515,151,2.015,121,2.515,151,3,0,64,64,26,1,27,0.5,1,2,0.5,#c7512c,#006a8b,348000,001,2024-06-25_17h18.18.443,kana_colourPreferenceQualia,2022.2.5,Win32,47.12535344
2.017,121,2.5,150,2.017,121,2.5,150,6,0,65,65,8,1,9,0.5,1,2,0.5,#d2b700,#007b75,348000,001,2024-06-25_17h18.18.443,kana_colourPreferenceQualia,2022.2.5,Win32,47.12535344
